Day,Solar,Wind,Bio,Water,TotalGen,GridLoss,Demand,Balance,Ueberschuss,Mangel,Einspeichern,SOC,RueckverstrStrom,RueckverstrH2,Abregelung,MangelLast
230,6208.14,736.48,12.40,53.40,7010.42,644.96,2677.32,3688.14,3688.14,0.00,3688.14,356276.09,0.00,0.00,0.00,0.00
231,5403.36,1061.79,12.40,53.40,6530.95,600.85,2336.81,3593.29,3593.29,0.00,3593.29,358611.73,0.00,0.00,0.00,0.00
232,6094.97,332.54,12.40,53.40,6493.32,597.39,2147.18,3748.76,3748.76,0.00,3748.76,361048.42,0.00,0.00,0.00,0.00
233,6051.96,237.98,12.40,53.40,6355.74,584.73,2696.13,3074.88,3074.88,0.00,3074.88,363047.10,0.00,0.00,0.00,0.00
234,5663.96,340.28,12.40,53.40,6070.04,558.44,2751.79,2759.81,2759.81,0.00,2759.81,364840.97,0.00,0.00,0.00,0.00
235,6124.52,275.96,12.40,53.40,6466.29,594.90,2723.30,3148.09,3148.09,0.00,3148.09,366887.23,0.00,0.00,0.00,0.00
236,5074.76,416.83,12.40,53.40,5557.40,511.28,2766.57,2279.54,2279.54,0.00,2279.54,368368.93,0.00,0.00,0.00,0.00
237,3227.44,927.23,12.40,53.40,4220.48,388.28,2748.76,1083.44,1083.44,0.00,1083.44,369073.17,0.00,0.00,0.00,0.00
238,4212.96,1056.76,12.40,53.40,5335.52,490.87,2314.09,2530.56,2530.56,0.00,2530.56,370718.03,0.00,0.00,0.00,0.00
239,2414.21,678.05,12.40,53.40,3158.06,290.54,2135.05,732.47,732.47,0.00,732.47,371194.14,0.00,0.00,0.00,0.00
240,2708.48,780.12,12.40,53.40,3554.40,327.00,2677.79,549.61,549.61,0.00,549.61,371551.39,0.00,0.00,0.00,0.00
241,2400.06,294.59,12.40,53.40,2760.45,253.96,2744.75,-238.27,0.00,238.27,0.00,371144.09,238.27,407.30,0.00,0.00
242,3761.53,679.52,12.40,53.40,4506.85,414.63,2720.39,1371.84,1371.84,0.00,1371.84,372035.78,0.00,0.00,0.00,0.00
243,4241.52,1629.45,12.40,53.40,5936.77,546.18,2731.25,2659.33,2659.33,0.00,2659.33,373764.35,0.00,0.00,0.00,0.00
244,3675.20,826.41,12.40,53.40,4567.41,420.20,2735.23,1411.98,1411.98,0.00,1411.98,374682.14,0.00,0.00,0.00,0.00
245,5229.69,222.84,12.40,53.40,5518.33,507.69,2273.16,2737.49,2737.49,0.00,2737.49,376461.50,0.00,0.00,0.00,0.00
246,4811.59,535.53,12.40,53.40,5412.92,497.99,2135.07,2779.85,2779.85,0.00,2779.85,378268.41,0.00,0.00,0.00,0.00
247,6278.84,625.94,12.40,53.40,6970.59,641.29,2645.47,3683.83,3683.83,0.00,3683.83,380662.90,0.00,0.00,0.00,0.00
248,6167.59,929.61,12.40,53.40,7163.01,659.00,2750.75,3753.26,3753.26,0.00,3753.26,383102.51,0.00,0.00,0.00,0.00
249,6209.84,707.44,12.40,53.40,6983.09,642.44,2764.99,3575.65,3575.65,0.00,3575.65,385426.69,0.00,0.00,0.00,0.00
250,6345.89,1525.97,12.40,53.40,7937.66,730.26,2789.11,4418.28,4418.28,0.00,4418.28,388298.57,0.00,0.00,0.00,0.00
251,6217.83,870.83,12.40,53.40,7154.47,658.21,2737.06,3759.19,3759.19,0.00,3759.19,390742.05,0.00,0.00,0.00,0.00
252,6030.82,244.25,12.40,53.40,6340.88,583.36,2345.57,3411.95,3411.95,0.00,3411.95,392959.81,0.00,0.00,0.00,0.00
253,5736.99,99.33,12.40,53.40,5902.12,543.00,2174.90,3184.23,3184.23,0.00,3184.23,395029.57,0.00,0.00,0.00,0.00
254,5753.12,400.87,12.40,53.40,6219.78,572.22,2761.10,2886.47,2886.47,0.00,2886.47,396905.77,0.00,0.00,0.00,0.00
255,4659.64,459.23,12.40,53.40,5184.67,476.99,2869.59,1838.10,1838.10,0.00,1838.10,398100.53,0.00,0.00,0.00,0.00
256,2593.87,1352.87,12.40,53.40,4012.54,369.15,2880.28,763.11,763.11,0.00,763.11,398596.55,0.00,0.00,0.00,0.00
257,4787.01,316.48,12.40,53.40,5169.30,475.58,2785.07,1908.65,1908.65,0.00,1908.65,399837.18,0.00,0.00,0.00,0.00
258,5709.39,812.19,12.40,53.40,6587.38,606.04,2715.50,3265.84,3265.84,0.00,3265.84,401959.97,0.00,0.00,0.00,0.00
259,5494.77,627.71,12.40,53.40,6188.28,569.32,2325.60,3293.36,3293.36,0.00,3293.36,404100.65,0.00,0.00,0.00,0.00
260,4811.92,735.69,12.40,53.40,5613.42,516.43,2170.13,2926.85,2926.85,0.00,2926.85,406003.11,0.00,0.00,0.00,0.00
261,2630.14,2536.06,12.40,53.40,5232.00,481.34,2811.19,1939.47,1939.47,0.00,1939.47,407263.77,0.00,0.00,0.00,0.00
262,4168.83,3215.52,12.40,53.40,7450.14,685.41,2780.44,3984.29,3984.29,0.00,3984.29,409853.56,0.00,0.00,0.00,0.00
263,4917.43,2595.18,12.40,53.40,7578.41,697.21,2775.98,4105.21,4105.21,0.00,4105.21,412521.94,0.00,0.00,0.00,0.00
264,4061.08,1910.38,12.40,53.40,6037.26,555.43,2860.11,2621.72,2621.72,0.00,2621.72,414226.06,0.00,0.00,0.00,0.00
265,2171.40,1619.91,12.40,53.40,3857.12,354.85,2760.39,741.87,741.87,0.00,741.87,414708.28,0.00,0.00,0.00,0.00
266,3504.06,1595.12,12.40,53.40,5164.98,475.18,2316.55,2373.26,2373.26,0.00,2373.26,416250.90,0.00,0.00,0.00,0.00
267,4887.85,1040.41,12.40,53.40,5994.06,551.45,2115.82,3326.79,3326.79,0.00,3326.79,418413.31,0.00,0.00,0.00,0.00
268,5318.99,1580.55,12.40,53.40,6965.34,640.81,2711.45,3613.08,3613.08,0.00,3613.08,420761.81,0.00,0.00,0.00,0.00
269,5084.29,303.28,12.40,53.40,5453.37,501.71,2777.79,2173.87,2173.87,0.00,2173.87,422174.82,0.00,0.00,0.00,0.00
270,4751.74,571.17,12.40,53.40,5388.71,495.76,2798.79,2094.16,2094.16,0.00,2094.16,423536.03,0.00,0.00,0.00,0.00
271,4571.66,1382.81,12.40,53.40,6020.28,553.87,2831.87,2634.54,2634.54,0.00,2634.54,425248.48,0.00,0.00,0.00,0.00
272,3215.02,2011.94,12.40,53.40,5292.75,486.93,2783.40,2022.42,2022.42,0.00,2022.42,426563.06,0.00,0.00,0.00,0.00
273,3869.41,1366.97,12.40,53.40,5302.18,487.80,2357.47,2456.90,2456.90,0.00,2456.90,428160.04,0.00,0.00,0.00,0.00
274,4109.98,985.46,12.40,53.40,5161.24,474.83,2141.97,2544.44,2544.44,0.00,2544.44,429813.93,0.00,0.00,0.00,0.00
275,4375.41,825.05,12.40,53.40,5266.27,484.50,2481.90,2299.86,2299.86,0.00,2299.86,431308.84,0.00,0.00,0.00,0.00
276,2753.26,3736.45,12.40,53.40,6555.51,603.11,2322.90,3629.50,3629.50,0.00,3629.50,433668.02,0.00,0.00,0.00,0.00
277,3714.56,3078.79,12.40,53.40,6859.15,631.04,2796.81,3431.30,3431.30,0.00,3431.30,435898.36,0.00,0.00,0.00,0.00
278,2763.57,2335.63,12.40,53.40,5165.01,475.18,2893.79,1796.03,1796.03,0.00,1796.03,437065.79,0.00,0.00,0.00,0.00
279,3703.38,3068.22,12.40,53.40,6837.41,629.04,2836.58,3371.79,3371.79,0.00,3371.79,439257.45,0.00,0.00,0.00,0.00
280,2344.82,3213.64,12.40,53.40,5624.26,517.43,2435.52,2671.31,2671.31,0.00,2671.31,440993.80,0.00,0.00,0.00,0.00
281,2542.86,832.85,12.40,53.40,3441.51,316.62,2212.57,912.32,912.32,0.00,912.32,441586.81,0.00,0.00,0.00,0.00
282,1403.76,1481.61,12.40,53.40,2951.17,271.51,2810.05,-130.38,0.00,130.38,0.00,441363.94,130.38,222.88,0.00,0.00
283,3254.65,1356.57,12.40,53.40,4677.03,430.29,2894.33,1352.41,1352.41,0.00,1352.41,442243.00,0.00,0.00,0.00,0.00
284,3776.09,3657.59,12.40,53.40,7499.48,689.95,2909.37,3900.15,3900.15,0.00,3900.15,444778.10,0.00,0.00,0.00,0.00
285,1682.20,1804.57,12.40,53.40,3552.57,326.84,2967.87,257.87,257.87,0.00,257.87,444945.72,0.00,0.00,0.00,0.00
286,2822.08,3467.29,12.40,53.40,6355.18,584.68,2872.08,2898.42,2898.42,0.00,2898.42,446829.69,0.00,0.00,0.00,0.00
287,2404.85,3668.82,12.40,53.40,6139.47,564.83,2462.93,3111.72,3111.72,0.00,3111.72,448852.30,0.00,0.00,0.00,0.00
288,2616.10,3135.80,12.40,53.40,5817.70,535.23,2377.70,2904.77,2904.77,0.00,2904.77,450740.41,0.00,0.00,0.00,0.00
289,3263.46,1262.90,12.40,53.40,4592.16,422.48,2916.07,1253.61,1253.61,0.00,1253.61,451555.25,0.00,0.00,0.00,0.00
290,2740.76,648.04,12.40,53.40,3454.60,317.82,2976.22,160.56,160.56,0.00,160.56,451659.61,0.00,0.00,0.00,0.00
291,2928.78,2280.88,12.40,53.40,5275.46,485.34,3027.44,1762.67,1762.67,0.00,1762.67,452805.35,0.00,0.00,0.00,0.00
292,1172.87,2866.07,12.40,53.40,4104.74,377.64,3078.22,648.88,648.88,0.00,648.88,453227.12,0.00,0.00,0.00,0.00
293,819.62,3647.93,12.40,53.40,4533.35,417.07,3010.18,1106.10,1106.10,0.00,1106.10,453946.09,0.00,0.00,0.00,0.00
294,2489.56,2624.82,12.40,53.40,5180.18,476.58,2495.92,2207.69,2207.69,0.00,2207.69,455381.09,0.00,0.00,0.00,0.00
295,2656.63,2576.02,12.40,53.40,5298.45,487.46,2353.79,2457.20,2457.20,0.00,2457.20,456978.27,0.00,0.00,0.00,0.00
296,2392.97,935.20,12.40,53.40,3393.98,312.25,2927.99,153.75,153.75,0.00,153.75,457078.20,0.00,0.00,0.00,0.00
297,656.05,1823.99,12.40,53.40,2545.84,234.22,3043.65,-732.02,0.00,732.02,0.00,455826.88,732.02,1251.32,0.00,0.00
298,1983.29,1811.73,12.40,53.40,3860.83,355.20,3019.73,485.90,485.90,0.00,485.90,456142.72,0.00,0.00,0.00,0.00
299,1004.22,1429.38,12.40,53.40,2499.41,229.95,3059.97,-790.51,0.00,790.51,0.00,454791.42,790.51,1351.29,0.00,0.00
300,1067.06,1449.56,12.40,53.40,2582.42,237.58,2985.41,-640.57,0.00,640.57,0.00,453696.44,640.57,1094.98,0.00,0.00
301,1656.94,2076.21,12.40,53.40,3798.95,349.50,2511.16,938.28,938.28,0.00,938.28,454306.32,0.00,0.00,0.00,0.00
302,1477.66,4212.55,12.40,53.40,5756.01,529.55,2555.23,2671.23,2671.23,0.00,2671.23,456042.62,0.00,0.00,0.00,0.00
303,1776.18,2498.12,12.40,53.40,4340.10,399.29,2866.43,1074.38,1074.38,0.00,1074.38,456740.97,0.00,0.00,0.00,0.00
304,1101.49,2591.15,12.40,53.40,3758.44,345.78,2856.12,556.54,556.54,0.00,556.54,457102.73,0.00,0.00,0.00,0.00
305,2063.60,2678.43,12.40,53.40,4807.83,442.32,2622.45,1743.06,1743.06,0.00,1743.06,458235.71,0.00,0.00,0.00,0.00
306,799.90,4393.26,12.40,53.40,5258.96,483.82,3032.04,1743.10,1743.10,0.00,1743.10,459368.73,0.00,0.00,0.00,0.00
307,1158.51,3334.03,12.40,53.40,4558.34,419.37,2975.04,1163.94,1163.94,0.00,1163.94,460125.29,0.00,0.00,0.00,0.00
308,1967.50,3964.68,12.40,53.40,5997.98,551.81,2637.35,2808.82,2808.82,0.00,2808.82,461951.02,0.00,0.00,0.00,0.00
309,1086.84,3511.03,12.40,53.40,4663.66,429.06,2462.06,1772.54,1772.54,0.00,1772.54,463103.17,0.00,0.00,0.00,0.00
310,1824.61,4460.85,12.40,53.40,6351.27,584.32,3077.73,2689.22,2689.22,0.00,2689.22,464851.16,0.00,0.00,0.00,0.00
311,1442.65,3553.70,12.40,53.40,5062.15,465.72,3141.06,1455.37,1455.37,0.00,1455.37,465797.16,0.00,0.00,0.00,0.00
312,1665.98,3986.55,12.40,53.40,5718.33,526.09,3180.17,2012.08,2012.08,0.00,2012.08,467105.01,0.00,0.00,0.00,0.00
313,1117.36,3355.79,12.40,53.40,4538.95,417.58,3183.86,937.50,937.50,0.00,937.50,467714.38,0.00,0.00,0.00,0.00
314,1243.10,2740.20,12.40,53.40,4049.10,372.52,3094.27,582.32,582.32,0.00,582.32,468092.89,0.00,0.00,0.00,0.00
315,1182.83,1696.72,12.40,53.40,2945.35,270.97,2619.35,55.03,55.03,0.00,55.03,468128.66,0.00,0.00,0.00,0.00
316,1277.72,833.36,12.40,53.40,2176.89,200.27,2480.64,-504.03,0.00,504.03,0.00,467267.07,504.03,861.59,0.00,0.00
317,601.33,2804.65,12.40,53.40,3471.78,319.40,3090.32,62.05,62.05,0.00,62.05,467307.40,0.00,0.00,0.00,0.00
318,688.10,4472.60,12.40,53.40,5226.50,480.84,3158.78,1586.88,1586.88,0.00,1586.88,468338.88,0.00,0.00,0.00,0.00
319,1094.90,2698.61,12.40,53.40,3859.31,355.06,3156.00,348.26,348.26,0.00,348.26,468565.24,0.00,0.00,0.00,0.00
320,934.51,2140.34,12.40,53.40,3140.65,288.94,3192.92,-341.21,0.00,341.21,0.00,467981.98,341.21,583.26,0.00,0.00
321,974.93,1230.52,12.40,53.40,2271.25,208.95,3128.28,-1065.99,0.00,1065.99,0.00,466159.78,1065.99,1822.20,0.00,0.00
322,1079.91,1913.43,12.40,53.40,3059.15,281.44,2681.53,96.18,96.18,0.00,96.18,466222.30,0.00,0.00,0.00,0.00
323,1104.25,4018.10,12.40,53.40,5188.15,477.31,2546.43,2164.41,2164.41,0.00,2164.41,467629.16,0.00,0.00,0.00,0.00
324,959.99,2226.51,12.40,53.40,3252.30,299.21,3039.60,-86.52,0.00,86.52,0.00,467481.27,86.52,147.89,0.00,0.00
325,644.03,1223.66,12.40,53.40,1933.49,177.88,3175.54,-1419.93,0.00,1419.93,0.00,465054.04,1419.93,2427.23,0.00,0.00
326,1071.09,1793.30,12.40,53.40,2930.19,269.58,3212.13,-551.52,0.00,551.52,0.00,464111.28,551.52,942.77,0.00,0.00
327,841.85,4948.85,12.40,53.40,5856.50,538.80,3255.60,2062.10,2062.10,0.00,2062.10,465451.64,0.00,0.00,0.00,0.00
328,813.16,4681.02,12.40,53.40,5559.98,511.52,3205.41,1843.05,1843.05,0.00,1843.05,466649.62,0.00,0.00,0.00,0.00
329,639.94,2749.66,12.40,53.40,3455.40,317.90,2795.43,342.08,342.08,0.00,342.08,466871.97,0.00,0.00,0.00,0.00
330,754.85,1082.42,12.40,53.40,1903.07,175.08,2598.11,-870.12,0.00,870.12,0.00,465384.60,870.12,1487.38,0.00,0.00
331,468.30,2072.48,12.40,53.40,2606.57,239.80,3232.00,-865.23,0.00,865.23,0.00,463905.58,865.23,1479.02,0.00,0.00
332,296.55,1945.84,12.40,53.40,2308.19,212.35,3370.73,-1274.89,0.00,1274.89,0.00,461726.28,1274.89,2179.29,0.00,0.00
333,407.18,2281.89,12.40,53.40,2754.87,253.45,3385.91,-884.49,0.00,884.49,0.00,460214.34,884.49,1511.94,0.00,0.00
334,308.04,326.41,12.40,53.40,700.25,64.42,3341.14,-2705.31,0.00,2705.31,0.00,455589.87,2705.31,4624.47,0.00,0.00
335,120.26,450.16,12.40,53.40,636.21,58.53,3286.97,-2709.29,0.00,2709.29,0.00,450958.61,2709.29,4631.26,0.00,0.00
336,171.07,426.47,12.40,53.40,663.34,61.03,2872.18,-2269.87,0.00,2269.87,0.00,447078.50,2269.87,3880.11,0.00,0.00
337,416.23,1080.48,12.40,53.40,1562.51,143.75,2719.93,-1301.17,0.00,1301.17,0.00,444854.28,1301.17,2224.22,0.00,0.00
338,122.43,2373.60,12.40,53.40,2561.83,235.69,3342.68,-1016.54,0.00,1016.54,0.00,443116.60,1016.54,1737.68,0.00,0.00
339,262.80,2651.92,12.40,53.40,2980.53,274.21,3353.16,-646.84,0.00,646.84,0.00,442010.88,646.84,1105.72,0.00,0.00
340,168.80,1141.49,12.40,53.40,1376.09,126.60,3322.46,-2072.97,0.00,2072.97,0.00,438467.34,2072.97,3543.54,0.00,0.00
341,731.01,777.44,12.40,53.40,1574.25,144.83,3307.64,-1878.22,0.00,1878.22,0.00,435256.71,1878.22,3210.64,0.00,0.00
342,222.44,1941.53,12.40,53.40,2229.77,205.14,3212.31,-1187.68,0.00,1187.68,0.00,433226.49,1187.68,2030.22,0.00,0.00
343,539.58,3232.06,12.40,53.40,3837.44,353.04,2735.98,748.42,748.42,0.00,748.42,433712.96,0.00,0.00,0.00,0.00
344,593.31,4189.75,12.40,53.40,4848.87,446.10,2573.48,1829.30,1829.30,0.00,1829.30,434902.01,0.00,0.00,0.00,0.00
345,505.78,3329.98,12.40,53.40,3901.57,358.94,3072.32,470.30,470.30,0.00,470.30,435207.70,0.00,0.00,0.00,0.00
346,536.69,1333.89,12.40,53.40,1936.38,178.15,3139.39,-1381.15,0.00,1381.15,0.00,432846.75,1381.15,2360.95,0.00,0.00
347,532.58,2146.54,12.40,53.40,2744.91,252.53,3154.42,-662.04,0.00,662.04,0.00,431715.06,662.04,1131.70,0.00,0.00
348,369.59,717.67,12.40,53.40,1153.07,106.08,3110.81,-2063.83,0.00,2063.83,0.00,428187.15,2063.83,3527.91,0.00,0.00
349,465.74,1666.55,12.40,53.40,2198.09,202.22,3032.91,-1037.04,0.00,1037.04,0.00,426414.43,1037.04,1772.72,0.00,0.00
350,886.65,3307.97,12.40,53.40,4260.43,391.96,2688.09,1180.38,1180.38,0.00,1180.38,427181.68,0.00,0.00,0.00,0.00
351,1241.37,3442.17,12.40,53.40,4749.34,436.94,2558.52,1753.89,1753.89,0.00,1753.89,428321.70,0.00,0.00,0.00,0.00
352,1353.27,3659.67,12.40,53.40,5078.74,467.24,3103.37,1508.13,1508.13,0.00,1508.13,429301.99,0.00,0.00,0.00,0.00
353,884.22,3495.76,12.40,53.40,4445.77,409.01,3118.20,918.56,918.56,0.00,918.56,429899.05,0.00,0.00,0.00,0.00
354,583.70,4492.28,12.40,53.40,5141.78,473.04,3042.74,1626.00,1626.00,0.00,1626.00,430955.95,0.00,0.00,0.00,0.00
355,173.03,5640.77,12.40,53.40,5879.59,540.92,2980.06,2358.61,2358.61,0.00,2358.61,432489.05,0.00,0.00,0.00,0.00
356,394.59,5471.88,12.40,53.40,5932.27,545.77,2890.45,2496.05,2496.05,0.00,2496.05,434111.49,0.00,0.00,0.00,0.00
357,230.00,3956.09,12.40,53.40,4251.89,391.17,2575.17,1285.54,1285.54,0.00,1285.54,434947.09,0.00,0.00,0.00,0.00
358,238.95,4842.01,12.40,53.40,5146.77,473.50,2391.96,2281.31,2281.31,0.00,2281.31,436429.94,0.00,0.00,0.00,0.00
359,650.08,4191.77,12.40,53.40,4907.66,451.50,2288.87,2167.28,2167.28,0.00,2167.28,437838.67,0.00,0.00,0.00,0.00
360,671.28,4461.30,12.40,53.40,5198.38,478.25,2337.46,2382.67,2382.67,0.00,2382.67,439387.40,0.00,0.00,0.00,0.00
361,1162.13,2493.56,12.40,53.40,3721.50,342.38,2511.77,867.35,867.35,0.00,867.35,439951.18,0.00,0.00,0.00,0.00
362,730.03,5057.65,12.40,53.40,5853.48,538.52,2603.58,2711.38,2711.38,0.00,2711.38,441713.58,0.00,0.00,0.00,0.00
363,686.73,5285.12,12.40,53.40,6037.65,555.46,2567.66,2914.52,2914.52,0.00,2914.52,443608.02,0.00,0.00,0.00,0.00
364,1066.60,3813.31,12.40,53.40,4945.72,455.01,2374.09,2116.63,2116.63,0.00,2116.63,444983.82,0.00,0.00,0.00,0.00
365,592.85,3846.31,12.40,53.40,4504.96,414.46,2280.14,1810.36,1810.36,0.00,1810.36,446160.55,0.00,0.00,0.00,0.00
