Day,Solar,Wind,Bio,Water,Total_Gen,Grid_Loss,Demand,Balance
73,1836.62,4193.15,12.40,53.40,6095.58,560.79,3121.32,2413.47
74,3228.58,2061.36,12.40,53.40,5355.74,492.73,3111.85,1751.16
75,4597.86,2671.21,12.40,53.40,7334.88,674.81,3067.74,3592.33
76,3906.76,2384.36,12.40,53.40,6356.93,584.84,3000.58,2771.50
77,4078.21,1029.07,12.40,53.40,5173.08,475.92,2477.75,2219.41
78,2792.56,830.42,12.40,53.40,3688.78,339.37,2296.86,1052.55
79,1890.06,1299.03,12.40,53.40,3254.89,299.45,2873.80,81.64
80,2727.02,1436.31,12.40,53.40,4229.13,389.08,2944.51,895.55
81,3863.34,3265.71,12.40,53.40,7194.85,661.93,2980.82,3552.11
82,2017.03,3564.43,12.40,53.40,5647.26,519.55,3004.59,2123.12
83,2109.58,3832.09,12.40,53.40,6007.47,552.69,2950.82,2503.96
84,3066.46,3992.61,12.40,53.40,7124.87,655.49,2542.72,3926.66
85,2274.59,2231.88,12.40,53.40,4572.27,420.65,2304.36,1847.27
86,3889.12,2994.62,12.40,53.40,6949.54,639.36,2949.55,3360.63
87,4443.48,1777.60,12.40,53.40,6286.88,578.39,3028.17,2680.31
88,2579.88,1569.14,12.40,53.40,4214.82,387.76,2993.50,833.56
89,2218.63,3727.51,12.40,53.40,6011.94,553.10,3005.36,2453.48
90,2298.25,2362.36,12.40,53.40,4726.41,434.83,2925.78,1365.80
91,1726.63,3486.68,12.40,53.40,5279.11,485.68,2636.15,2157.28
92,2466.71,2658.52,12.40,53.40,5191.03,477.57,2442.35,2271.10
93,4556.28,1450.72,12.40,53.40,6072.80,558.70,2892.38,2621.72
94,5623.58,455.92,12.40,53.40,6145.30,565.37,2912.37,2667.57
95,5643.06,216.00,12.40,53.40,5924.86,545.09,2892.00,2487.77
96,5772.20,1096.04,12.40,53.40,6934.04,637.93,2853.60,3442.52
97,3691.69,1478.52,12.40,53.40,5236.01,481.71,2385.56,2368.74
98,1913.67,532.91,12.40,53.40,2512.38,231.14,2311.27,-30.02
99,4655.42,427.85,12.40,53.40,5149.07,473.71,2043.10,2632.26
100,5576.24,2558.95,12.40,53.40,8200.99,754.49,2177.61,5268.89
101,3717.62,3018.78,12.40,53.40,6802.20,625.80,2761.95,3414.45
102,2771.83,2373.85,12.40,53.40,5211.49,479.46,2889.72,1842.31
103,3405.24,2331.53,12.40,53.40,5802.58,533.84,2857.18,2411.56
104,3603.74,735.57,12.40,53.40,4405.11,405.27,2790.09,1209.75
105,1903.77,1652.51,12.40,53.40,3622.08,333.23,2485.81,803.04
106,1868.29,888.77,12.40,53.40,2822.86,259.70,2295.19,267.97
107,3501.89,1082.81,12.40,53.40,4650.51,427.85,2823.02,1399.64
108,3036.28,2114.24,12.40,53.40,5216.33,479.90,2895.13,1841.29
109,4279.95,2638.53,12.40,53.40,6984.28,642.55,2908.41,3433.32
110,2901.01,2196.38,12.40,53.40,5163.19,475.01,2930.21,1757.97
111,5900.09,2455.35,12.40,53.40,8421.24,774.75,2791.37,4855.12
112,5584.70,1908.56,12.40,53.40,7559.06,695.43,2349.88,4513.75
113,4209.67,1204.65,12.40,53.40,5480.12,504.17,2168.77,2807.18
114,3265.38,3033.84,12.40,53.40,6365.02,585.58,2815.44,2963.99
115,3341.50,2455.15,12.40,53.40,5862.45,539.35,2913.24,2409.87
116,4796.90,1668.90,12.40,53.40,6531.60,600.91,2880.80,3049.90
117,5536.51,664.06,12.40,53.40,6266.37,576.51,2838.38,2851.49
118,2565.92,1352.42,12.40,53.40,3984.15,366.54,2788.90,828.71
119,3439.88,1315.37,12.40,53.40,4821.05,443.54,2408.14,1969.37
120,6332.24,586.39,12.40,53.40,6984.43,642.57,2140.74,4201.12
121,4716.89,786.16,12.40,53.40,5568.86,512.34,2168.08,2888.44
122,3999.37,1606.24,12.40,53.40,5671.41,521.77,2780.22,2369.42
123,6646.28,546.01,12.40,53.40,7258.10,667.74,2800.13,3790.22
